,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
2652,Machine learning : modèles génératifs (GANs) avec PyTorch,https://www.udemy.com/course/machine-learning-gans-pytorch/,44,19,1.0,7/2021,French,1.0,1.0,69.9,1.0,3.0,12.0,1h 9m,Maxime Vandegar,"1,290",25.0,4.4,,,,,1.0,0.0,0.0,4.2
2653,Curso completo de NumPy - Ciencia de datos en Python (ES),https://www.udemy.com/course/curso-completo-numpy/,"1,449",19,1.0,9/2022,Spanish,1.0,1.0,69.9,1.0,2.0,14.0,1h 46m,Escape Velocity Labs,"6,569",11.0,4.5,,,,,0.0,0.0,0.0,4.7
2654,ChatGPT Sıfırdan Zirveye: Kazanç ve Verimliliğinizi Artırın,https://www.udemy.com/course/chatgpt-sifirdan-zirveye-kazanc-ve-verimliliginizi-artirin/,"1,265",24,1.0,2/2023,Turkish,1.0,0.0,69.9,1.0,5.0,34.0,1h 49m,Enes Özcan,"2,138",2.0,4.7,,,,,0.0,0.0,0.0,4.4
2655,파이썬 머신러닝 Starter 강의 (초급),https://www.udemy.com/course/stroke-starter/,110,21,1.0,3/2022,Korean,1.0,0.0,69.9,1.0,12.0,12.0,8h 15m,어쩌다 코딩,110,1.0,4.9,,,,,0.0,0.0,0.0,4.9
2656,Spark mit Databricks in AWS für Data Science/Engineering,https://www.udemy.com/course/spark-mit-databricks-in-aws-fur-data-scienceengineering/,107,19,1.0,3/2021,German,1.0,1.0,69.9,1.0,9.0,82.0,12h 48m,Jan Schwarzlose,"14,502",7.0,4.2,,,,,0.0,0.0,0.0,4.0
2657,Introdução prática à Análise de Sentimentos em Python,https://www.udemy.com/course/introducao-pratica-a-analise-de-sentimentos-em-python/,89,20,1.0,5/2020,Portuguese,1.0,1.0,69.9,1.0,11.0,11.0,1h 10m,Ebony Rodrigues,89,1.0,4.2,,,,,0.0,0.0,0.0,4.2
2658,Machine Learning : Débutant à Expert en seulement 5h30,https://www.udemy.com/course/machine-learning-debutant-a-expert-en-seulement-5h30/,115,19,1.0,11/2020,French,1.0,1.0,69.9,1.0,4.0,57.0,5h 44m,"Sébastien | HTML5 & CSS3, Machine Learning, MQL5","1,355",3.0,4.4,,,,,1.0,0.0,0.0,3.9
2659,아빠가 들려주는 [엑셀 데이터 시각화] 따라하기,https://www.udemy.com/course/ez-excel-chart/,276,19,1.0,11/2022,Korean,1.0,0.0,69.9,1.0,5.0,35.0,3h 40m,김지형 M.D.,"2,419",31.0,4.6,,,,,0.0,0.0,0.0,4.8
2660,Data Science - Datenvorbereitung & Qualitätssicherung Excel,https://www.udemy.com/course/maschinelles-lernen-datenvorbereitung-qualitatssicherung/,"3,192",19,2.0,5/2021,German,1.0,1.0,89.9,1.0,5.0,44.0,2h 2m,Georg Müller,"41,765",10.0,4.1,Kate Alison,"81,831",34.0,4.2,1.0,0.0,0.0,4.5
2661,O Guia Completo sobre GANs: Redes Adversárias Generativas,https://www.udemy.com/course/guia-completo-gans-redes-adversarias-generativas/,400,19,3.0,11/2022,Portuguese,1.0,1.0,69.9,1.0,10.0,118.0,16h 44m,Jones Granatyr,"166,599",91.0,4.7,Gabriel Alves,"45,082",14.0,4.6,0.0,0.0,0.0,4.9
