,links
0,/course/machinelearning/
1,/course/python-for-data-science-and-machine-learning-bootcamp/
2,/course/the-data-science-course-complete-data-science-bootcamp/
3,/course/r-programming/
4,/course/deeplearning/
5,/course/statistics-for-data-science-and-business-analysis/
6,/course/datascience/
7,/course/data-science-and-machine-learning-with-python-hands-on/
8,/course/python-coding/
9,/course/artificial-intelligence-az/
10,/course/spark-and-python-for-big-data-with-pyspark/
11,/course/data-analysis-with-pandas/
12,/course/complete-guide-to-tensorflow-for-deep-learning-with-python/
13,/course/apache-spark-with-scala-hands-on-with-big-data/
14,/course/data-science-and-machine-learning-bootcamp-with-r/
15,/course/complete-machine-learning-and-data-science-zero-to-mastery/
16,/course/taming-big-data-with-apache-spark-hands-on/
17,/course/nlp-natural-language-processing-with-python/
18,/course/machine-learning-for-data-science/
19,/course/data-science-natural-language-processing-in-python/
20,/course/python-for-machine-learning-data-science-masterclass/
21,/course/data-statistics/
22,/course/artificial-intelligence-reinforcement-learning-in-python/
23,/course/data-science-deep-learning-in-python/
24,/course/deep-learning-tensorflow-2/
25,/course/r-analytics/
26,/course/interactive-python-dashboards-with-plotly-and-dash/
27,/course/dp900-azure/
28,/course/natural-language-processing-with-deep-learning-in-python/
29,/course/complete-tensorflow-2-and-keras-deep-learning-bootcamp/
30,/course/computer-vision-a-z/
31,/course/tensorflow-developer-certificate-machine-learning-zero-to-mastery/
32,/course/bayesian-machine-learning-in-python-ab-testing/
33,/course/probability-and-statistics-for-business-and-data-science/
34,/course/machine-learning-course-with-python/
35,/course/data-science-linear-regression-in-python/
36,/course/advanced-computer-vision/
37,/course/deep-learning-advanced-nlp/
38,/course/scala-and-spark-for-big-data-and-machine-learning/
39,/course/data_science_a_to_z/
40,/course/python-data-science-machine-learning-bootcamp/
41,/course/deep-learning-convolutional-neural-networks-theano-tensorflow/
42,/course/sqldatabases/
43,/course/statistics-using-excel/
44,/course/deep-reinforcement-learning-in-python/
45,/course/apache-spark-programming-in-python-for-beginners/
46,/course/intro-to-data-science/
47,/course/cluster-analysis-unsupervised-machine-learning-python/
48,/course/deployment-of-machine-learning-models/
49,/course/r-programming-for-statistics-and-data-science/
50,/course/deep-learning-recurrent-neural-networks-in-python/
51,/course/machine-learning-data-science-foundations-masterclass/
52,/course/ml-and-python-in-finance-real-cases-and-practical-solutions/
53,/course/data-science-logistic-regression-in-python/
54,/course/pytorch-for-deep-learning-with-python-bootcamp/
55,/course/applied-deep-learningtm-the-complete-self-driving-car-course/
56,/course/unsupervised-machine-learning-hidden-markov-models-in-python/
57,/course/natural-language-processing/
58,/course/taming-big-data-with-spark-streaming-hands-on/
59,/course/ai-for-business/
60,/course/aws-machine-learning-a-complete-guide-with-python/
61,/course/deep-learning-with-python-and-keras/
62,/course/artificial-intelligence-machine-learning-business/
63,/course/an-introduction-to-machine-learning-for-data-engineers/
64,/course/r-level1/
65,/course/data-science-deep-learning-in-theano-tensorflow/
66,/course/machine-learning-with-javascript/
67,/course/python-introduction-to-data-science-and-machine-learning-a-z/
68,/course/r-programming-course-for-absolute-beginners/
69,/course/feature-engineering-for-machine-learning/
70,/course/data-science-supervised-machine-learning-in-python/
71,/course/machine-learning-practical/
72,/course/deep-learning-gans-and-variational-autoencoders/
73,/course/complete-data-science-and-machine-learning-using-python/
74,/course/python-for-statistical-analysis/
75,/course/careers-in-data-science-a-ztm/
76,/course/time-series-analysis-and-forecasting-in-r/
77,/course/data-science-career-guide-interview-preparation/
78,/course/artificial-intelligence-in-unity/
79,/course/machine-learning-with-r-studio/
80,/course/machine-learning-with-tensorflow-for-business-intelligence/
81,/course/unsupervised-deep-learning-in-python/
82,/course/data-integration-guide/
83,/course/step-by-step-guide-to-machine-learning-course/
84,/course/docker-container-course-for-beginners/
85,/course/statistics-using-r/
86,/course/machine-learning-in-python-random-forest-adaboost/
87,/course/feature-selection-for-machine-learning/
88,/course/natural-language-processing-in-python/
89,/course/machine-learning-with-unity/
90,/course/pytorch-for-deep-learning-and-computer-vision/
91,/course/tensorflow-2/
92,/course/cutting-edge-artificial-intelligence/
93,/course/complete-data-science-training-with-python-for-data-analysis/
94,/course/master-data-science-in-python/
95,/course/data-manipulation-in-python/
96,/course/complete-practical-sas-statistics-data-analysis-course/
97,/course/practical-deep-learning-with-pytorch/
98,/course/python-for-data-science-machine-learning/
99,/course/pytorch-deep-learning/
100,/course/deeplearning_x/
101,/course/looker-learning-tutorial-for-beginners/
102,/course/apache-spark-3-databricks-certified-associate-developer/
103,/course/applied-statistical-modeling-for-data-analysis-in-r/
104,/course/artificial-intelligence-masterclass/
105,/course/artificial-intelligence-website-creation-2018-no-coding/
106,/course/databricks-fundamentals-apache-spark-core/
107,/course/the-complete-neural-networks-bootcamp-theory-applications/
108,/course/modern-nlp/
109,/course/hands-on-natural-language-processing-using-python/
110,/course/learn-cassandra-from-scratch/
111,/course/practical-aws-sagemaker-6-real-world-case-studies/
112,/course/deep-learning-machine-learning-practical/
113,/course/machine-learning-basics-building-regression-model-in-python/
114,/course/inferential-statistics-spss/
115,/course/linear-regression-in-python-statistics-and-coding/
116,/course/machine-learning-time-series-forecasting-in-python/
117,/course/artificial-intelligence-in-digital-marketing/
118,/course/learn-dbt-from-scratch/
119,/course/pyspark-aws-master-big-data-with-pyspark-and-aws/
120,/course/time-series-analysis/
121,/course/data-science-and-machine-learning-with-r-from-a-z/
122,/course/scraping-and-data-mining-for-beginners-and-pros-y/
123,/course/complete-dbt-data-build-tool-bootcamp-zero-to-hero-learn-dbt/
124,/course/deploy-data-science-nlp-models-with-docker-containers/
125,/course/mlops-course/
126,/course/ai-finance/
127,/course/unaicorn/
128,/course/mathematical-foundation-for-machine-learning-and-ai/
129,/course/mastering-python-data-handling-analysis-and-visualization/
130,/course/neural-network-understanding-and-building-an-ann-in-python/
131,/course/machine-learning-for-absolute-beginners-level-1/
132,/course/cnn-for-computer-vision-with-keras-and-tensorflow-in-python/
133,/course/python-data-analysis-visualization/
134,/course/nlp-with-transformers/
135,/course/understand-and-practice-ai-natural-language-processing-in-python/
136,/course/statistics-for-data-science-data-analytics/
137,/course/python-introduction-to-data-science/
138,/course/learn-data-science-deep-learning-machine-learning-nlp-r/
139,/course/deep-reinforcement-learning/
140,/course/data-engineering-using-aws-analytics-services/
141,/course/support-vector-machines-in-python/
142,/course/data-science-machine-learning-a-z-hands-on-python/
143,/course/python-for-data-science-and-machine-learning-beginners/
144,/course/introduction-to-machine-learning-in-python/
145,/course/regression-statistics/
146,/course/machine-learning-and-ai-with-hands-on-projects/
147,/course/training-yolo-v3-for-objects-detection-with-custom-data/
148,/course/bert-nlp-algorithm/
149,/course/advanced-computer-vision-transfer-learning-with-tensorflow/
150,/course/azure-synapse-analytics-for-data-engineers/
151,/course/introduction-to-ai-machine-learning-and-data-science/
152,/course/probability-for-statistics-and-data-science/
153,/course/what-to-be-a-big-data-scientist/
154,/course/the-ultimate-apache-spark-with-java-course-hands-on/
155,/course/artificial-intelligence-ars/
156,/course/data-analysis-with-pandas-a-complete-tutorial/
157,/course/architecting-big-data-solutions/
158,/course/from-0-1-machine-learning/
159,/course/deep-learning-with-keras-and-tensorflow-in-python-and-r/
160,/course/optimization-with-python-linear-nonlinear-and-cplex-gurobi/
161,/course/complete-time-series-data-analysis-bootcamp-with-python/
162,/course/machine-learning-classification/
163,/course/a-crash-course-in-pyspark/
164,/course/deep-q-learning-from-paper-to-code/
165,/course/data-analysis-and-visualization-tools/
166,/course/the-complete-data-visualization-course/
167,/course/hands-on-machine-learning-without-writing-code/
168,/course/machine-learning-real-world-projects-in-python/
169,/course/machine-learning-basics-classification-models-in-python/
170,/course/practical-ai-with-python-and-reinforcement-learning/
171,/course/complete-data-visualization-in-python/
172,/course/powerbi-hero/
173,/course/data-analysis-with-pandas-python/
174,/course/algorithmic-problems-in-python/
175,/course/modern-artificial-intelligence-applications/
176,/course/complete-data-wrangling-data-visualisation-with-python/
177,/course/modern-computer-vision/
178,/course/text-mining-and-natural-language-processing-in-r/
179,/course/mathematics-statistics-of-machine-learning-data-science/
180,/course/spark-for-data-science-with-python/
181,/course/data-analysis-masterclass/
182,/course/introduction-to-big-data-data-science/
