,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
1520,Artificial Intelligence in Web Design and Live Project,https://www.udemy.com/course/artificial-intelligence-in-web-design-live-project/,24,5,1,22-Nov,English,1,1,69.9,1,2.0,16.0,2.783333333333333,Muddassir Shah,24.0,1,5.0,0,0.0,0.0,0,0,0,0,5.0
1521,Artificial Intelligence in Web Design and Live Project,https://www.udemy.com/course/artificial-intelligence-in-web-design-live-project/,24,5,1,22-Nov,English,1,1,69.9,1,2.0,16.0,2.783333333333333,Muddassir Shah,24.0,1,5.0,0,0.0,0.0,0,0,0,0,5.0
1522,Artem Ex Machina™: become AI Arts Artisan from the ground up,https://www.udemy.com/course/artem-ex-machina/,38,5,1,22-Dec,English,1,1,69.9,1,6.0,41.0,3.8,"Alexander Abdulkader Kheirallah, PhD",2111.0,3,4.1,0,0.0,0.0,0,1,0,0,4.2
1523,Master Excel Data Visualization- All Charts & Graphs[2023],https://www.udemy.com/course/mastering-excel-data-visualization-static-charts-graphs/,178,5,1,23-Feb,English,1,0,69.9,1,24.0,70.0,3.1333333333333333,DataRiel Academy,407.0,2,4.8,0,0.0,0.0,0,0,0,0,5.0
1524,The Complete Computer Vision Bootcamp: From Zero to Expert!,https://www.udemy.com/course/introduction-to-computer-vision-p/,1141,4,1,23-Jan,English,1,1,69.9,1,7.0,51.0,9.683333333333334,Lucas Bazilio,32521.0,67,4.4,0,0.0,0.0,0,0,0,0,4.5
1525,SGLearn@Artificial Intelligence I: Basics and Games in Java,https://www.udemy.com/course/sglearnartificial-intelligence-i-basics-and-games-in-java/,17,4,1,17-Jun,English,1,0,539.9,0,8.0,69.0,7.033333333333333,DioPACT SG,61.0,5,4.4,0,0.0,0.0,0,0,0,0,4.1
1526,Data Science & Python: Data Science with Real Problems (2),https://www.udemy.com/course/data-science-python-data-science-with-real-problems-2/,70,4,2,21-Jul,English,1,1,69.9,1,10.0,37.0,4.45,DATAI TEAM,108153.0,20,4.5,1,5645.0,6.0,3.6,1,0,1,3.3
1527,Scrapy masterclass: Python web scraping and data pipelines,https://www.udemy.com/course/scrapy-masterclass-python-web-scraping-and-data-pipelines/,66,4,1,23-Feb,English,1,1,69.9,1,10.0,53.0,6.416666666666667,Ahmed Elfakharany,11814.0,6,4.5,0,0.0,0.0,0,0,0,0,4.2
1528,Machine Learning  with Python - 2022,https://www.udemy.com/course/machine-learning-with-python-2022/,131,4,1,22-Jul,English,1,1,69.9,1,7.0,16.0,2.65,Zahra Golrizkhatami,131.0,1,5.0,0,0.0,0.0,0,0,0,0,5.0
1529,The Deep Learning Masterclass - Convert Sketch to Photo,https://www.udemy.com/course/the-deep-learning-masterclass-convert-sketch-to-photo/,75,4,2,21-Feb,English,1,1,69.9,1,10.0,50.0,8.133333333333333,Mammoth Interactive,381800.0,263,4.3,1,520513.0,292.0,4.3,0,0,0,4.4
1530,Toxic Question Classification using BERT and Tensorflow 2.4,https://www.udemy.com/course/toxic-question-classification-using-bert-and-tensorflow-24/,49,4,1,21-Jan,English,1,1,69.9,1,5.0,18.0,2.716666666666667,Evergreen Technologies,15067.0,55,3.5,0,0.0,0.0,0,0,0,0,3.3
1531,Jupyter Notebook - Big Data Visualization Tool,https://www.udemy.com/course/jupyter-notebook-big-data-visualization-tool/,536,4,1,22-Nov,English,1,1,139.9,1,2.0,28.0,1.0,Bigdata Engineer,69099.0,23,3.9,0,0.0,0.0,0,0,0,0,3.7
1532,Hands-On Deep Q-Learning,https://www.udemy.com/course/hands-on-deep-q-learning/,63,4,1,19-Mar,English,1,1,69.9,1,5.0,24.0,1.8833333333333333,Packt Publishing,410275.0,977,3.9,0,0.0,0.0,0,0,0,0,3.8
1533,Big data for Business,https://www.udemy.com/course/big-data-for-business/,1050,4,1,22-Oct,English,1,1,69.9,1,5.0,10.0,0.6166666666666667,Huma Ejaz,9490.0,11,4.1,0,0.0,0.0,0,0,0,0,4.3
1534,Data Science in a Business Context,https://www.udemy.com/course/data-science-in-a-business-context/,27,4,1,21-Aug,English,1,1,69.9,1,6.0,42.0,2.9166666666666665,Manuel Offidani,27.0,1,5.0,0,0.0,0.0,0,0,0,0,5.0
1535,Reinforcement Learning for Robotics and Automation,https://www.udemy.com/course/reinforcement-learning-for-robotics-and-automation/,19,4,1,22-Jan,English,1,1,69.9,1,6.0,13.0,1.05,Abhinav Raj,12976.0,28,3.8,0,0.0,0.0,0,0,0,1,4.5
1536,Predictive Modeling and Time Series Analysis with Minitab,https://www.udemy.com/course/predictive-modeling-and-time-series-analysis-with-minitab/,3761,4,1,22-Jun,English,1,1,229.9,1,1.0,16.0,2.466666666666667,EDUCBA Bridging the Gap,252741.0,152,4.0,0,0.0,0.0,0,0,0,0,5.0
1537,"Time Series Analysis, Forecasting, and ML with Python",https://www.udemy.com/course/time-series-analysis-forecasting-and-ml-with-python/,3801,5,1,22-Jun,English,1,1,259.9,1,1.0,42.0,5.483333333333333,EDUCBA Bridging the Gap,252741.0,152,4.0,0,0.0,0.0,0,0,0,0,4.8
1538,Text Extraction-EasyOCR,https://www.udemy.com/course/easyopticalcharacterrecognition/,1404,4,1,22-Oct,English,1,1,399.9,0,10.0,21.0,1.3166666666666667,Franklyn Fosu,25801.0,14,4.6,0,0.0,0.0,0,0,0,0,4.3
1539,Web Scraping Projects for Beginners,https://www.udemy.com/course/web-scraping-projects-for-beginners/,1012,4,1,22-Jun,English,1,1,199.9,1,8.0,60.0,5.366666666666666,Bluelime Learning Solutions,748349.0,439,4.1,0,0.0,0.0,0,0,0,0,4.0
1540,TensorFlow: Application Development Using TensorFlow: 2-in-1,https://www.udemy.com/course/tensorflow-application-development-using-tensorflow-2-in-1/,64,4,1,18-May,English,1,1,69.9,1,2.0,46.0,4.333333333333333,Packt Publishing,410275.0,977,3.9,0,0.0,0.0,0,0,0,0,3.1
1541,Correlation & Regression: Concepts with Illustrative example,https://www.udemy.com/course/correlation-regression-concepts-with-illustrative-example/,23,4,1,21-Oct,English,1,0,89.9,0,6.0,9.0,3.3833333333333333,Vijay Sabale,240.0,7,4.0,0,0.0,0.0,0,1,0,0,3.5
1542,Natural Language Processing (NLP) Using NLTK in Python,https://www.udemy.com/course/natural-language-processing-nlp-using-nltk-in-python/,35,4,1,19-Apr,English,1,1,69.9,1,2.0,54.0,3.066666666666667,Packt Publishing,410275.0,977,3.9,0,0.0,0.0,0,1,0,0,3.9
1543,Natural Language Processing In Java With Apache OpenNLP,https://www.udemy.com/course/natural-language-processing-in-java-with-apache-opennlp/,32,4,1,22-Jul,English,1,1,69.9,1,6.0,20.0,2.55,Mousa Al Bateh,247.0,3,4.4,0,0.0,0.0,0,0,0,0,5.0
1544,Learn how to create content based hotel recommendations,https://www.udemy.com/course/learn-how-to-create-content-based-recommendations-for-hotel/,19,4,1,21-Mar,English,1,1,69.9,1,7.0,12.0,1.1833333333333333,Evergreen Technologies,15067.0,55,3.5,0,0.0,0.0,0,0,0,0,4.3
