,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
0,Machine Learning A-Z™: Python & R in Data Science [2023],https://www.udemy.com/course/machinelearning/,922067,166060,4,23-Feb,English,1,14,399.9,1,46.0,382.0,42.56666666666667,Kirill Eremenko,2310664.0,59,4.5,1,1671787.0,42.0,4.5,1,0,0,4.5
1,Python for Data Science and Machine Learning Bootcamp,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,618002,126865,1,20-May,English,1,15,349.9,1,27.0,165.0,24.9,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,0,0,0,4.6
2,The Data Science Course 2023: Complete Data Science Bootcamp,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,570308,119395,2,22-Dec,English,1,16,399.9,1,65.0,517.0,31.85,365 Careers,2246699.0,91,4.5,1,727304.0,3.0,4.6,1,0,0,4.6
3,R Programming A-Z™: R For Data Science With Real Exercises!,https://www.udemy.com/course/r-programming/,249326,49393,3,23-Jan,English,1,15,349.9,1,8.0,78.0,10.583333333333334,Kirill Eremenko,2310664.0,59,4.5,1,2318090.0,148.0,4.6,1,0,0,4.6
4,Deep Learning A-Z™: Hands-On Artificial Neural Networks,https://www.udemy.com/course/deeplearning/,349233,42086,4,23-Feb,English,1,12,399.9,1,26.0,169.0,22.55,Kirill Eremenko,2310664.0,59,4.5,1,1671787.0,42.0,4.5,0,0,0,4.6
5,Statistics for Data Science and Business Analysis,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,166843,36078,2,22-Dec,English,1,16,399.9,1,18.0,92.0,4.85,365 Careers,2246699.0,91,4.5,1,727304.0,3.0,4.6,1,0,0,4.6
6,Data Science A-Z™: Real-Life Data Science Exercises Included,https://www.udemy.com/course/datascience/,210728,32839,3,23-Jan,English,1,10,329.9,1,28.0,216.0,21.2,Kirill Eremenko,2310664.0,59,4.5,1,2318090.0,148.0,4.6,1,0,0,4.5
7,"Machine Learning, Data Science and Deep Learning with Python",https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,172722,28498,3,22-Sep,English,1,12,89.9,1,13.0,116.0,15.6,Sundog Education by Frank Kane,687720.0,33,4.5,1,636593.0,26.0,4.6,0,0,0,4.6
8,Python A-Z™: Python For Data Science With Real Exercises!,https://www.udemy.com/course/python-coding/,151395,25590,3,23-Jan,English,1,7,349.9,1,8.0,71.0,11.083333333333334,Kirill Eremenko,2310664.0,59,4.5,1,2318090.0,148.0,4.6,1,0,0,4.6
9,Artificial Intelligence A-Z™: Learn How To Build An AI,https://www.udemy.com/course/artificial-intelligence-az/,196457,22530,6,23-Feb,English,1,16,399.9,1,19.0,125.0,16.966666666666665,Hadelin de Ponteves,1671787.0,42,4.5,1,2310664.0,59.0,4.5,1,0,0,4.4
10,Spark and Python for Big Data with PySpark,https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,113288,20827,1,20-May,English,1,16,349.9,1,18.0,67.0,10.583333333333334,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,0,0,0,4.5
11,Data Analysis with Pandas and Python,https://www.udemy.com/course/data-analysis-with-pandas/,177816,18806,1,23-Jan,English,1,26,69.9,1,15.0,207.0,22.0,Boris Paskhaver,350927.0,7,4.7,0,0.0,0.0,0,1,1,0,4.7
12,Complete Guide to TensorFlow for Deep Learning with Python,https://www.udemy.com/course/complete-guide-to-tensorflow-for-deep-learning-with-python/,93696,16608,1,20-Apr,English,1,13,349.9,1,13.0,96.0,14.15,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,0,0,0,4.2
13,Apache Spark with Scala - Hands On with Big Data!,https://www.udemy.com/course/apache-spark-with-scala-hands-on-with-big-data/,89690,16541,3,22-Sep,English,1,10,69.9,1,10.0,69.0,8.966666666666667,Sundog Education by Frank Kane,687720.0,33,4.5,1,636593.0,26.0,4.6,1,0,0,4.6
14,Data Science and Machine Learning Bootcamp with R,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,87633,15754,1,20-Dec,English,1,16,349.9,1,35.0,128.0,17.75,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,1,0,0,4.6
15,Taming Big Data with Apache Spark and Python - Hands On!,https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/,86890,14346,3,23-Jan,English,1,12,89.9,1,8.0,66.0,6.95,Sundog Education by Frank Kane,687720.0,33,4.5,1,636593.0,26.0,4.6,0,0,0,4.5
16,NLP - Natural Language Processing with Python,https://www.udemy.com/course/nlp-natural-language-processing-with-python/,66691,12955,1,19-Sep,English,1,14,349.9,1,9.0,80.0,11.4,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,1,0,0,4.6
17,Introduction to Machine Learning for Data Science,https://www.udemy.com/course/machine-learning-for-data-science/,58709,12645,1,20-Jul,English,1,7,279.9,1,14.0,62.0,5.55,David Valentine,86232.0,2,4.5,0,0.0,0.0,0,1,0,0,4.5
18,Data Science: Natural Language Processing (NLP) in Python,https://www.udemy.com/course/data-science-natural-language-processing-in-python/,43910,11399,1,23-Feb,English,1,5,279.9,1,15.0,88.0,11.866666666666667,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,0,0,0,4.6
19,Python for Machine Learning & Data Science Masterclass,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/,84168,11076,1,21-Sep,English,1,15,329.9,1,26.0,231.0,44.06666666666667,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,0,1,0,4.6
20,Statistics for Business Analytics and Data Science A-Z™,https://www.udemy.com/course/data-statistics/,58425,10407,3,23-Jan,English,1,10,349.9,1,6.0,41.0,6.033333333333333,Kirill Eremenko,2310664.0,59,4.5,1,2318090.0,148.0,4.6,1,0,0,4.5
21,Artificial Intelligence: Reinforcement Learning in Python,https://www.udemy.com/course/artificial-intelligence-reinforcement-learning-in-python/,43413,9537,2,23-Feb,English,1,6,279.9,0,14.0,111.0,14.716666666666667,Lazy Programmer Team,185342.0,16,4.7,1,522205.0,32.0,4.7,0,0,0,4.7
22,Data Science: Deep Learning and Neural Networks in Python,https://www.udemy.com/course/data-science-deep-learning-in-python/,52293,8814,1,23-Feb,English,1,3,279.9,1,14.0,89.0,12.133333333333333,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,0,0,0,4.6
23,Tensorflow 2.0: Deep Learning and Artificial Intelligence,https://www.udemy.com/course/deep-learning-tensorflow-2/,41913,8642,2,23-Feb,English,1,1,319.9,1,21.0,136.0,23.45,Lazy Programmer Inc.,522205.0,32,4.7,1,185342.0,16.0,4.7,0,0,0,4.7
24,R Programming: Advanced Analytics In R For Data Science,https://www.udemy.com/course/r-analytics/,58475,8312,3,23-Jan,English,1,10,319.9,1,5.0,53.0,5.966666666666667,Kirill Eremenko,2310664.0,59,4.5,1,2318090.0,148.0,4.6,1,0,0,4.5
25,Interactive Python Dashboards with Plotly and Dash,https://www.udemy.com/course/interactive-python-dashboards-with-plotly-and-dash/,44214,8105,1,19-Sep,English,1,1,299.9,1,13.0,69.0,9.716666666666667,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,0,0,0,4.6
26,DP-900 Azure Data Fundamentals Exam Prep In One Day,https://www.udemy.com/course/dp900-azure/,41358,8057,2,23-Feb,English,1,1,105.9,1,12.0,49.0,4.2,Scott Duffy  • 800.000+ Students,891808.0,49,4.5,1,868389.0,42.0,4.5,1,0,1,4.5
27,Natural Language Processing with Deep Learning in Python,https://www.udemy.com/course/natural-language-processing-with-deep-learning-in-python/,43305,7240,1,23-Feb,English,1,7,259.9,1,13.0,95.0,12.033333333333333,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,0,0,0,4.6
28,Complete Tensorflow 2 and Keras Deep Learning Bootcamp,https://www.udemy.com/course/complete-tensorflow-2-and-keras-deep-learning-bootcamp/,42839,7042,1,22-Jun,English,1,1,399.9,1,13.0,116.0,19.2,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,1,0,0,4.7
29,"Deep Learning and Computer Vision A-Z™: OpenCV, SSD & GANs",https://www.udemy.com/course/computer-vision-a-z/,46350,6398,4,23-Jan,English,1,11,319.9,1,12.0,85.0,11.083333333333334,Hadelin de Ponteves,1671787.0,42,4.5,1,2310664.0,59.0,4.5,1,0,0,4.2
30,Bayesian Machine Learning in Python: A/B Testing,https://www.udemy.com/course/bayesian-machine-learning-in-python-ab-testing/,33699,5891,1,23-Feb,English,1,4,349.9,1,11.0,79.0,10.433333333333334,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,0,0,0,4.7
31,Probability and Statistics for Business and Data Science,https://www.udemy.com/course/probability-and-statistics-for-business-and-data-science/,30820,5876,1,19-Sep,English,1,8,299.9,1,9.0,53.0,5.233333333333333,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,1,0,0,4.6
32,The Complete Machine Learning Course with Python,https://www.udemy.com/course/machine-learning-course-with-python/,33452,5841,3,20-Jan,English,1,3,319.9,1,13.0,111.0,17.3,Codestars • over 2 million students worldwide!,2195877.0,80,4.5,1,70511.0,1.0,4.3,0,0,0,4.3
33,Deep Learning Prerequisites: Linear Regression in Python,https://www.udemy.com/course/data-science-linear-regression-in-python/,31185,5754,1,23-Feb,English,1,1,349.9,1,9.0,53.0,6.35,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,1,0,0,4.6
34,"Deep Learning: Advanced Computer Vision (GANs, SSD, +More!)",https://www.udemy.com/course/advanced-computer-vision/,32739,5281,1,23-Feb,English,1,7,319.9,1,16.0,110.0,15.633333333333333,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,0,0,0,4.7
35,Deep Learning: Advanced Natural Language Processing and RNNs,https://www.udemy.com/course/deep-learning-advanced-nlp/,28293,5248,1,23-Feb,English,1,7,299.9,1,11.0,65.0,8.283333333333333,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,0,0,0,4.6
36,Scala and Spark for Big Data and Machine Learning,https://www.udemy.com/course/scala-and-spark-for-big-data-and-machine-learning/,30493,5166,1,19-Sep,English,1,8,199.9,1,17.0,80.0,10.183333333333334,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,0,0,0,4.4
37,Machine Learning & Deep Learning in Python & R,https://www.udemy.com/course/data_science_a_to_z/,358274,5093,1,22-Nov,English,1,1,105.9,1,41.0,267.0,33.06666666666667,Start-Tech Academy,1590131.0,53,4.5,0,0.0,0.0,0,1,0,0,4.4
38,Complete 2022 Data Science & Machine Learning Bootcamp,https://www.udemy.com/course/python-data-science-machine-learning-bootcamp/,42857,5088,2,20-Aug,English,1,1,329.9,1,13.0,207.0,41.266666666666666,Philipp Muellauer,77402.0,1,4.6,1,1925467.0,9.0,4.7,0,1,0,4.6
39,Deep Learning: Convolutional Neural Networks in Python,https://www.udemy.com/course/deep-learning-convolutional-neural-networks-theano-tensorflow/,34153,5103,1,23-Feb,English,1,7,349.9,1,15.0,75.0,13.35,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,0,0,0,4.6
40,SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL,https://www.udemy.com/course/sqldatabases/,29000,4964,4,23-Jan,English,1,6,349.9,1,10.0,103.0,12.583333333333334,Kirill Eremenko,2310664.0,59,4.5,1,70741.0,4.0,4.5,1,0,0,4.5
41,Statistics for Data Analysis Using Excel 2016,https://www.udemy.com/course/statistics-using-excel/,21280,4944,1,22-Dec,English,1,1,299.9,1,11.0,114.0,14.416666666666666,"Sandeep Kumar, ­ Quality Gurus Inc.",228258.0,38,4.6,0,0.0,0.0,0,1,0,0,4.6
42,Advanced AI: Deep Reinforcement Learning in Python,https://www.udemy.com/course/deep-reinforcement-learning-in-python/,36412,4894,2,23-Feb,English,1,5,105.9,0,12.0,79.0,10.65,Lazy Programmer Team,185342.0,16,4.7,1,522205.0,32.0,4.7,0,0,0,4.6
43,Apache Spark 3 - Spark Programming in Python for Beginners,https://www.udemy.com/course/apache-spark-programming-in-python-for-beginners/,28011,4929,2,23-Jan,English,1,7,69.9,1,12.0,74.0,8.916666666666666,Prashant Kumar Pandey,86568.0,12,4.6,1,86568.0,12.0,4.6,1,0,0,4.5
44,Intro to Data Science: Your Step-by-Step Guide To Starting,https://www.udemy.com/course/intro-to-data-science/,18679,4672,4,23-Jan,English,1,1,229.9,1,7.0,41.0,5.216666666666667,Kirill Eremenko,2310664.0,59,4.5,1,1671787.0,42.0,4.5,0,0,0,4.4
45,Cluster Analysis and Unsupervised Machine Learning in Python,https://www.udemy.com/course/cluster-analysis-unsupervised-machine-learning-python/,24668,4643,2,23-Feb,English,1,3,105.9,0,8.0,56.0,7.95,Lazy Programmer Team,185342.0,16,4.7,1,522205.0,32.0,4.7,0,0,0,4.6
46,Deployment of Machine Learning Models,https://www.udemy.com/course/deployment-of-machine-learning-models/,28841,4474,2,23-Feb,English,1,1,199.9,1,14.0,147.0,10.366666666666667,Soledad Galli,48894.0,7,4.6,1,30418.0,2.0,4.4,1,0,0,4.5
47,R Programming for Statistics and Data Science 2023,https://www.udemy.com/course/r-programming-for-statistics-and-data-science/,25594,4423,2,21-Jan,English,1,1,319.9,1,12.0,126.0,6.683333333333334,365 Careers,2246699.0,91,4.5,1,196227.0,1.0,4.5,1,0,0,4.7
48,Deep Learning: Recurrent Neural Networks in Python,https://www.udemy.com/course/deep-learning-recurrent-neural-networks-in-python/,32033,4255,1,23-Feb,English,1,6,349.9,1,13.0,73.0,12.916666666666666,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,0,0,0,4.6
49,Mathematical Foundations of Machine Learning,https://www.udemy.com/course/machine-learning-data-science-foundations-masterclass/,103738,4128,3,22-Jul,English,1,3,349.9,1,11.0,113.0,16.416666666666668,Dr Jon Krohn,104108.0,2,4.6,1,2318090.0,148.0,4.6,0,0,0,4.6
50,Python & Machine Learning for Financial Analysis,https://www.udemy.com/course/ml-and-python-in-finance-real-cases-and-practical-solutions/,96929,4072,2,22-Jul,English,1,1,279.9,1,20.0,131.0,23.016666666666666,"Dr. Ryan Ahmed, Ph.D., MBA",324291.0,46,4.5,1,518857.0,71.0,4.5,0,0,0,4.3
51,Deep Learning Prerequisites: Logistic Regression in Python,https://www.udemy.com/course/data-science-logistic-regression-in-python/,28440,3865,1,23-Feb,English,1,3,349.9,1,11.0,59.0,6.85,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,1,0,0,4.5
52,PyTorch for Deep Learning with Python Bootcamp,https://www.udemy.com/course/pytorch-for-deep-learning-with-python-bootcamp/,24932,3792,1,19-Sep,English,1,1,399.9,1,12.0,97.0,17.0,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,1,0,0,4.7
53,The Complete Self-Driving Car Course - Applied Deep Learning,https://www.udemy.com/course/applied-deep-learningtm-the-complete-self-driving-car-course/,21931,3765,4,21-May,English,1,5,349.9,1,14.0,171.0,18.116666666666667,Rayan Slim,176450.0,7,4.6,1,77415.0,2.0,4.6,0,0,0,4.6
54,Unsupervised Machine Learning Hidden Markov Models in Python,https://www.udemy.com/course/unsupervised-machine-learning-hidden-markov-models-in-python/,25604,3669,2,23-Feb,English,1,1,105.9,0,13.0,64.0,9.8,Lazy Programmer Team,185342.0,16,4.7,1,522205.0,32.0,4.7,0,0,0,4.6
55,Introduction to Natural Language Processing (NLP),https://www.udemy.com/course/natural-language-processing/,13781,3582,1,18-Mar,English,1,1,209.9,1,8.0,41.0,3.0,Brian Sacash,13781.0,1,4.6,0,0.0,0.0,0,0,0,0,4.6
56,Streaming Big Data with Spark Streaming and Scala,https://www.udemy.com/course/taming-big-data-with-spark-streaming-hands-on/,25537,3364,3,22-Oct,English,1,1,69.9,1,9.0,38.0,6.433333333333334,Sundog Education by Frank Kane,687720.0,33,4.5,1,636593.0,26.0,4.6,0,0,0,4.3
57,Artificial Intelligence for Business,https://www.udemy.com/course/ai-for-business/,24621,3369,4,23-Jan,English,1,7,279.9,1,18.0,117.0,15.066666666666666,Hadelin de Ponteves,1671787.0,42,4.5,1,2310664.0,59.0,4.5,0,0,0,4.4
58,AWS Certified Machine Learning Specialty MLS-C01 [2023],https://www.udemy.com/course/aws-machine-learning-a-complete-guide-with-python/,27887,3317,1,23-Feb,English,1,1,329.9,1,26.0,258.0,17.833333333333332,Chandra Lingam,111613.0,10,4.5,0,0.0,0.0,0,1,0,1,4.5
59,Deep Learning with Python and Keras,https://www.udemy.com/course/deep-learning-with-python-and-keras/,23346,3119,3,18-Dec,English,1,3,319.9,1,9.0,148.0,9.933333333333334,Data Weekends,24588.0,3,4.5,1,3244349.0,59.0,4.6,0,0,0,4.5
60,Artificial Intelligence & Machine Learning for Business,https://www.udemy.com/course/artificial-intelligence-machine-learning-business/,10846,3102,1,19-Jun,English,1,1,249.9,1,15.0,48.0,5.7,Analytics Vidhya,30064.0,4,4.5,0,0.0,0.0,0,1,0,0,4.5
61,An Introduction to Machine Learning for Data Engineers,https://www.udemy.com/course/an-introduction-to-machine-learning-for-data-engineers/,9585,3070,1,22-Feb,English,1,1,69.9,1,7.0,46.0,1.1666666666666667,Mike West,240510.0,50,4.2,0,0.0,0.0,0,1,0,0,4.4
62,R Level 1 - Data Analytics with R,https://www.udemy.com/course/r-level1/,15464,3030,1,19-Apr,English,1,1,209.9,1,9.0,87.0,8.7,R-Tutorials Training,267371.0,24,4.4,0,0.0,0.0,0,0,0,0,4.4
63,Data Science: Modern Deep Learning in Python,https://www.udemy.com/course/data-science-deep-learning-in-theano-tensorflow/,33204,3038,1,23-Feb,English,1,7,319.9,1,21.0,89.0,11.383333333333333,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,0,0,0,4.8
64,Machine Learning with Javascript,https://www.udemy.com/course/machine-learning-with-javascript/,27934,2906,1,23-Feb,English,1,3,349.9,1,15.0,187.0,17.666666666666668,Stephen Grider,1209958.0,32,4.7,0,0.0,0.0,0,1,0,0,4.7
65,Python-Introduction to Data Science and Machine learning A-Z,https://www.udemy.com/course/python-introduction-to-data-science-and-machine-learning-a-z/,256786,2852,1,22-Dec,English,1,1,229.9,1,9.0,53.0,7.35,Yassin Marco,1307769.0,25,4.2,0,0.0,0.0,0,0,0,0,4.1
66,R Programming For Absolute Beginners,https://www.udemy.com/course/r-programming-course-for-absolute-beginners/,154407,2846,1,17-Jun,English,1,1,139.9,1,11.0,119.0,9.533333333333333,Bogdan Anastasiei,297538.0,14,4.5,0,0.0,0.0,0,0,0,0,4.6
67,Feature Engineering for Machine Learning,https://www.udemy.com/course/feature-engineering-for-machine-learning/,19434,2812,1,23-Feb,English,1,1,349.9,1,18.0,174.0,12.816666666666666,Soledad Galli,48894.0,7,4.6,0,0.0,0.0,0,0,0,0,4.7
68,Data Science: Supervised Machine Learning in Python,https://www.udemy.com/course/data-science-supervised-machine-learning-in-python/,20112,2694,2,23-Feb,English,1,1,105.9,0,12.0,53.0,6.4,Lazy Programmer Team,185342.0,16,4.7,1,522205.0,32.0,4.7,0,0,0,4.6
69,Machine Learning Practical: 6 Real-World Applications,https://www.udemy.com/course/machine-learning-practical/,19793,2682,4,23-Jan,English,1,1,259.9,1,8.0,82.0,8.616666666666667,"Dr. Ryan Ahmed, Ph.D., MBA",324291.0,46,4.5,1,2318090.0,148.0,4.6,0,0,0,4.4
70,Deep Learning: GANs and Variational Autoencoders,https://www.udemy.com/course/deep-learning-gans-and-variational-autoencoders/,24705,2669,2,23-Feb,English,1,1,105.9,0,9.0,54.0,7.766666666666667,Lazy Programmer Team,185342.0,16,4.7,1,522205.0,32.0,4.7,0,0,0,4.6
71,Python for Statistical Analysis,https://www.udemy.com/course/python-for-statistical-analysis/,53501,2545,3,22-Dec,English,1,1,299.9,1,6.0,56.0,8.633333333333333,Samuel Hinton,89510.0,4,4.5,1,2318090.0,148.0,4.6,0,0,0,4.5
72,Careers in Data Science A-Z™,https://www.udemy.com/course/careers-in-data-science-a-ztm/,12753,2538,4,23-Jan,English,1,1,229.9,1,8.0,51.0,3.5666666666666664,Kirill Eremenko,2310664.0,59,4.5,1,1671787.0,42.0,4.5,0,0,0,4.4
73,Introduction to Time Series Analysis and Forecasting in R,https://www.udemy.com/course/time-series-analysis-and-forecasting-in-r/,13053,2521,1,19-Mar,English,1,1,279.9,1,8.0,74.0,8.533333333333333,R-Tutorials Training,267371.0,24,4.4,0,0.0,0.0,0,1,0,0,4.2
74,Data Science Career Guide - Interview Preparation,https://www.udemy.com/course/data-science-career-guide-interview-preparation/,20288,2454,1,19-Sep,English,1,7,319.9,1,12.0,110.0,4.0,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,0,0,0,4.6
75,The Beginner's Guide to Artificial Intelligence (Unity 2022),https://www.udemy.com/course/artificial-intelligence-in-unity/,38832,2315,2,22-Aug,English,1,3,69.9,1,23.0,185.0,30.166666666666668,Penny de Byl,143198.0,30,4.6,1,143198.0,30.0,4.6,1,0,0,4.7
76,Complete Machine Learning with R Studio - ML for 2023,https://www.udemy.com/course/machine-learning-with-r-studio/,254881,2289,1,22-Nov,English,1,1,105.9,1,22.0,112.0,11.983333333333333,Start-Tech Academy,1590131.0,53,4.5,0,0.0,0.0,0,1,0,0,4.4
77,Deep Learning with TensorFlow 2.0 [2023],https://www.udemy.com/course/machine-learning-with-tensorflow-for-business-intelligence/,20002,2233,2,20-Nov,English,1,7,249.9,1,16.0,111.0,5.916666666666667,365 Careers,2246699.0,91,4.5,1,727304.0,3.0,4.6,1,0,0,4.5
78,Unsupervised Deep Learning in Python,https://www.udemy.com/course/unsupervised-deep-learning-in-python/,19929,2145,2,23-Feb,English,1,1,123.9,0,14.0,79.0,10.166666666666666,Lazy Programmer Team,185342.0,16,4.7,1,522205.0,32.0,4.7,0,0,0,4.8
79,Data Integration Guide,https://www.udemy.com/course/data-integration-guide/,6665,2176,1,23-Feb,English,1,1,139.9,1,11.0,39.0,2.2666666666666666,Ahmed Fessi,9558.0,2,4.5,0,0.0,0.0,0,1,0,0,4.5
80,Machine Learning- From Basics to Advanced,https://www.udemy.com/course/step-by-step-guide-to-machine-learning-course/,281795,1965,2,20-Apr,English,1,0,209.9,1,5.0,16.0,6.816666666666666,EdYoda Digital University,1058871.0,15,4.3,1,281795.0,1.0,4.3,0,0,0,4.3
81,Docker Course for Beginners,https://www.udemy.com/course/docker-container-course-for-beginners/,169460,1947,1,20-Jun,English,1,1,105.9,1,3.0,11.0,1.45,EdYoda Digital University,1058871.0,15,4.3,0,0.0,0.0,0,0,0,0,4.1
82,Statistics for Data Analysis Using R,https://www.udemy.com/course/statistics-using-r/,10460,1913,1,21-Sep,English,1,1,279.9,1,10.0,111.0,12.416666666666666,"Sandeep Kumar, ­ Quality Gurus Inc.",228258.0,38,4.6,0,0.0,0.0,0,0,0,0,4.5
83,"Ensemble Machine Learning in Python: Random Forest, AdaBoost",https://www.udemy.com/course/machine-learning-in-python-random-forest-adaboost/,14920,1930,2,23-Feb,English,1,1,105.9,0,10.0,44.0,5.7,Lazy Programmer Team,185342.0,16,4.7,1,522205.0,32.0,4.7,0,0,0,4.7
84,Feature Selection for Machine Learning,https://www.udemy.com/course/feature-selection-for-machine-learning/,13481,1883,1,23-Feb,English,1,1,329.9,1,12.0,87.0,5.816666666666666,Soledad Galli,48894.0,7,4.6,0,0.0,0.0,0,1,0,0,4.6
85,Machine Learning: Natural Language Processing in Python (V2),https://www.udemy.com/course/natural-language-processing-in-python/,9386,1903,2,23-Feb,English,1,1,299.9,1,22.0,153.0,22.183333333333334,Lazy Programmer Inc.,522205.0,32,4.7,1,185342.0,16.0,4.7,0,0,0,4.7
86,A Beginner's Guide To Machine Learning with Unity,https://www.udemy.com/course/machine-learning-with-unity/,22122,1864,2,21-Aug,English,1,1,69.9,1,10.0,76.0,13.05,Penny de Byl,143198.0,30,4.6,1,143198.0,30.0,4.6,1,0,0,4.6
87,PyTorch for Deep Learning and Computer Vision,https://www.udemy.com/course/pytorch-for-deep-learning-and-computer-vision/,11719,1862,4,20-Sep,English,1,1,319.9,1,15.0,101.0,14.233333333333333,Rayan Slim,176450.0,7,4.6,1,168426.0,8.0,4.6,0,0,0,4.6
88,A Complete Guide on TensorFlow 2.0 using Keras API,https://www.udemy.com/course/tensorflow-2/,53381,1854,4,23-Jan,English,1,1,319.9,1,18.0,133.0,13.083333333333334,Hadelin de Ponteves,1671787.0,42,4.5,1,2318090.0,148.0,4.6,1,0,0,4.5
89,Cutting-Edge AI: Deep Reinforcement Learning in Python,https://www.udemy.com/course/cutting-edge-artificial-intelligence/,27721,1809,1,23-Feb,English,1,1,319.9,1,9.0,50.0,8.533333333333333,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,0,0,0,4.7
90,Complete Data Science Training with Python for Data Analysis,https://www.udemy.com/course/complete-data-science-training-with-python-for-data-analysis/,9640,1789,1,21-Oct,English,1,1,279.9,1,13.0,124.0,12.933333333333334,Minerva Singh,92139.0,50,4.4,0,0.0,0.0,0,1,0,0,4.2
91,"Data Manipulation in Python: Master Python, Numpy & Pandas",https://www.udemy.com/course/master-data-science-in-python/,123246,1740,1,22-Apr,English,1,1,179.9,1,9.0,107.0,3.7666666666666666,Meta Brains,359775.0,22,4.2,0,0.0,0.0,0,1,0,0,4.3
92,Data Manipulation in Python: A Pandas Crash Course,https://www.udemy.com/course/data-manipulation-in-python/,38272,1709,1,21-Apr,English,1,1,349.9,1,9.0,57.0,8.783333333333333,Samuel Hinton,89510.0,4,4.5,0,0.0,0.0,0,0,0,0,4.6
93,"Complete & Practical SAS, Statistics & Data Analysis Course",https://www.udemy.com/course/complete-practical-sas-statistics-data-analysis-course/,10729,1694,1,18-Dec,English,1,1,69.9,1,21.0,171.0,16.6,Shenggang Li,17497.0,3,4.3,0,0.0,0.0,0,0,0,0,4.6
94,Practical Deep Learning with PyTorch,https://www.udemy.com/course/practical-deep-learning-with-pytorch/,6617,1681,1,18-Oct,English,1,1,229.9,1,11.0,58.0,6.433333333333334,Deep Learning Wizard,6617.0,1,3.8,0,0.0,0.0,0,0,0,0,3.8
95,Learn Python for Data Science & Machine Learning from A-Z,https://www.udemy.com/course/python-for-data-science-machine-learning/,112465,1670,2,21-Oct,English,1,1,249.9,1,20.0,140.0,22.9,Juan E. Galvan,514036.0,15,4.4,1,182736.0,2.0,4.1,0,0,0,4.1
96,PyTorch: Deep Learning and Artificial Intelligence,https://www.udemy.com/course/pytorch-deep-learning/,6927,1600,2,23-Feb,English,1,1,279.9,0,22.0,147.0,24.25,Lazy Programmer Team,185342.0,16,4.7,1,522205.0,32.0,4.7,0,0,0,4.8
97,A deep understanding of deep learning (with Python intro),https://www.udemy.com/course/deeplearning_x/,14842,1606,1,23-Feb,English,1,1,69.9,1,32.0,265.0,57.31666666666667,Mike X Cohen,200725.0,23,4.7,0,0.0,0.0,0,0,0,0,4.8
98,Looker and LookML - The Complete Course for Beginners,https://www.udemy.com/course/looker-learning-tutorial-for-beginners/,8304,1600,1,23-Feb,English,1,1,349.9,1,16.0,96.0,8.9,George Smarts,72932.0,28,4.5,0,0.0,0.0,0,0,0,0,4.4
