,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
553,[생활코딩] 파이썬 텐서플로우(TensorFlow) 기초,https://www.udemy.com/course/tensorflow-a/,54,2,1,null,Korean,1,0,0,0,7,19,1h 49m,생활 코딩,972,73,4.8,null,null,null,null,0,0,0,5.0
554,[Python 6hr] [Part 3] 파이썬 입문 6시간 완성 - [1억 연봉 데이터분석가],https://www.udemy.com/course/python-6hr-part-3-6-1/,132,1,1,null,Korean,1,0,0,0,1,5,39m total,메타코드 M,375,12,4.8,null,null,null,null,0,0,0,5.0
555,인공지능 최신 동향과 정책 이슈,https://www.udemy.com/course/dosanacademy_kyungjeonlee/,22,1,1,null,Korean,1,0,0,0,1,5,56m total,도산아카데미 사단법인,184,18,4.7,null,null,null,null,0,0,0,5.0
556,[Python 6hr] [Part 4] 파이썬 입문 6시간 완성 - [1억 연봉 데이터분석가],https://www.udemy.com/course/python-6hr-part-4-6-1/,101,1,1,null,Korean,1,0,0,0,1,5,1h 50m,메타코드 M,375,12,4.8,null,null,null,null,0,0,0,5.0
557,[생활코딩] DATABASE - MySQL #2,https://www.udemy.com/course/database-mysql-2/,107,1,1,null,Korean,1,0,0,0,3,13,1h 47m,생활 코딩,972,73,4.8,null,null,null,null,0,0,0,5.0
558,AI/機械学習って何？の基礎がわかる、初心者向け入門講座,https://www.udemy.com/course/about-machine-learning/,29,1,1,null,Japanese,1,1,0,0,1,9,37m total,アルテアエンジニアリング 株式会社,38,2,3.0,null,null,null,null,0,0,0,3.0
559,[생활코딩] DATABASE - 관계형 데이터 모델링 #1,https://www.udemy.com/course/database-1/,51,1,1,null,Korean,1,0,0,0,5,15,1h 9m,생활 코딩,972,73,4.8,null,null,null,null,0,0,0,5.0
560,[생활코딩] 자바스크립트 텐서플로우(TensorFlow) 기초,https://www.udemy.com/course/tensorflow-w/,54,2,1,null,Korean,1,0,0,0,9,21,1h 55m,생활 코딩,972,73,4.8,null,null,null,null,0,0,0,5.0
561,[생활코딩] 코딩 없이 머신러닝! Orange3,https://www.udemy.com/course/orange3-q/,48,1,1,null,Korean,1,0,0,0,6,12,1h 2m,생활 코딩,972,73,4.8,null,null,null,null,0,0,0,5.0
562,[생활코딩] WEB - Node.js - MySQL #1,https://www.udemy.com/course/web-nodejs-mysql-1/,104,0,1,null,Korean,1,0,0,0,4,19,1h 44m,생활 코딩,972,73,4.8,null,null,null,null,0,0,0,0.0
563,Pandas para iniciantes: Aprenda a manipular dados - Python,https://www.udemy.com/course/pandas-para-iniciantes-aprenda-a-manipular-dados-python/,259,3,1,null,Portuguese,1,1,0,0,2,8,1h 7m,Pablo Santos,259,2,4.3,null,null,null,null,0,0,0,4.3
564,[생활코딩] WEB - PHP & MySQL #1,https://www.udemy.com/course/web-php-mysql-1/,37,0,1,null,Korean,1,0,0,0,5,15,1h 52m,생활 코딩,972,73,4.8,null,null,null,null,0,0,0,0.0
565,[생활코딩] WEB - Node.js - MySQL #2,https://www.udemy.com/course/web-nodejs-mysql-2/,37,0,1,null,Korean,1,0,0,0,3,10,1h 0m,생활 코딩,972,73,4.8,null,null,null,null,0,0,0,0.0
566,[생활코딩] Orange3 지도학습,https://www.udemy.com/course/orange3-e/,29,0,1,null,Korean,1,0,0,0,4,10,1h 3m,생활 코딩,972,73,4.8,null,null,null,null,0,0,0,0.0
567,[생활코딩] DATABASE - SQLite,https://www.udemy.com/course/database-sqlite/,35,0,1,null,Korean,1,0,0,0,3,7,43m total,생활 코딩,972,73,4.8,null,null,null,null,0,0,0,0.0
568,[생활코딩] WEB - PHP & MySQL #2,https://www.udemy.com/course/web-php-mysql-2/,31,0,1,null,Korean,1,0,0,0,4,14,1h 54m,생활 코딩,972,73,4.8,null,null,null,null,0,0,0,0.0
569,[생활코딩] DATABASE - SQL Join,https://www.udemy.com/course/database-sql-join/,45,0,1,null,Korean,1,0,0,0,4,8,50m total,생활 코딩,972,73,4.8,null,null,null,null,0,0,0,0.0
570,[생활코딩] DATABASE - 관계형 데이터 모델링 #2,https://www.udemy.com/course/database-2/,39,0,1,null,Korean,1,0,0,0,4,16,1h 31m,생활 코딩,972,73,4.8,null,null,null,null,0,0,0,0.0
